label,text,source
spam,freemsg hi baby wow just convey a new cam moby. wanna c pic? or fancy a chat?im w8in 4utxt / rply chat to 82242 hlp 08712317606 msg150p 2rcv,llm_balanced
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,uci
ham,Pls help me tell Ashley that i cant find her number oh,uci
ham,Oh k:)after that placement there ah?,uci
spam,"customer service announcement. we recently tried to piddle a delivery to you but embody unable to behave so, please call 07090298926 to re-schedule. ref:9307622",llm_balanced
ham,"Aight, text me tonight and we'll see what's up",uci
spam,freemsg today's the day if you exist ready! i'm & live in your town. i hump sex fun & games! netcollex ltd 08700621170150p per msg reply stop to finish,llm_balanced
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,uci
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,uci
spam,-pls stop bootydelious (32/f) be inviting you to be her friend. answer yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? ship stop frnd to 62468,llm_balanced
ham,I'm in office now . I will call you  &lt;#&gt;  min:),uci
spam,"lookatme!: thanks for your purchase of a video clip from lookatme!, you've been institutionalize 35p. think you can suffice better? why not send a video in a mmsto 32323.",llm_balanced
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",uci
ham,Aiyo please Ì_ got time meh.,uci
spam,free unlimited hardcore porn direct 2 your mobile txt porn to 69200 & bring free access for 24 hrs then chrgd@50p per day txt stop 2exit. this msg embody free,llm_balanced
spam,urgent! this is the 2nd attempt to contact u!u experience won Â£1000call 09071512432 b4 300603t&csbcm4235wc1n3xx.callcost150ppmmobilesvary. maxÂ£7. 50,llm_balanced
spam,"loan for any purpose Â£500 - Â£75,000. homeowners + tenants welcome. ingest you constitute previously refused? we can still help. call free 0800 1956668",llm_balanced
ham,10 min later k...,uci
spam,suffice you want a new video handset? 750 anytime any network mins? half price line rental? camcorder? reply or yell 08000930705 for delivery tomorrow,llm_balanced
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book,uci
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),uci
ham,Once free call me sir.,uci
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,uci
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,mishra_soni
ham,How is your schedule next week? I am out of town this weekend.,uci
spam,free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and enjoin ur mates www.getzed.co.uk,llm_balanced
spam,lyricalladie(21/f) is bid you to embody her friend. reply yes-910 or no-910. see her: www.sms.ac/u/hmmross stop? place stop frnd to 62468,llm_balanced
spam,"dear voucher holder, to claim this weeks offer, at your pc please become to http://www.wtlp.co.uk/text. ts&cs apply.",llm_balanced
spam,hard live 121 chat just 60p/min. choose your girl and join live. call 09094646899 now! cheap chat uk's biggest live service.,llm_balanced
spam,"free msg: get gnarls barkleys ""crazy"" ringtone totally free just reply survive to this message right now!",llm_balanced
spam,"thanks for your ringtone order, reference number x49. your mobile will embody institutionalize 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar",llm_balanced
ham,Dont you have message offer,uci
spam,! ingest your mobile 11mths+? you embody entitled to update to the latest colour camera mobile for free! call the mobile update co unloosen on 08002986906,llm_balanced
ham,"Awesome, be there in a minute",uci
spam,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or Â£1000. to arrogate txt dis to 87121 18+6*Â£1.50",llm_balanced
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,uci
spam,important information 4 orange user . today equal your lucky day!2find out why log onto http://www.urawinner.com there's a fantastic surprise awaiting you!,llm_balanced
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,uci
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,uci
spam,todays voda numbers ending with 7634 are take to receive a Â£350 reward. if you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,llm_balanced
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",uci
ham,Your right! I'll make the appointment right now.,uci
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,uci
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!,uci
ham,Ok leave no need to ask,uci
ham,"Awesome, text me when you're restocked",uci
ham,"Kate jackson rec center before 7ish, right?",uci
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,uci
ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,uci
ham,"I'm in a meeting, call me later at",uci
spam,"themob> insure out our newest selection of content, games, tones, gossip, babes and sport, observe your mobile fit and funky text wap to 82468",llm_balanced
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",uci
spam,"this exist the 2nd time we possess tried 2 contact u. u have won the 750 pound prize. 2 claim is easy, call 08712101358 now! only 10p per min.",llm_balanced
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,uci
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",uci
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),uci
ham,U GOIN OUT 2NITE?,uci
ham,ILL B DOWN SOON,uci
spam,camera - you are grant a sipix digital camera! call 09061221067 fromm landline. delivery within 28 days.,llm_balanced
spam,Courtsy reminder: payment on your NAB Visa Card is now overdue. Please refer to your statement for payment options or call 1300 2569 28 Thank you,mishra_soni
spam,winner!! as a valued network customer you ingest been choose to receivea Â£900 lever reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,llm_balanced
spam,RCT' THNQ Adrian for U text. Rgds Vatian,uci
ham,Ã bot notes oredi... Cos i juz rem i got...,mishra_soni
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",uci
ham,How r Ã¼ going to send it to me?,mishra_soni
spam,"as a valued customer, i am delight to notify you that survey recent draw of your mobile no. you exist award with a rs.10,00,000 bonus prize, call 7044518857",llm_balanced
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,uci
ham,"Sorry, I'll call later",uci
ham,How did you find out in a way that didn't include all of these details,uci
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,uci
ham,Watching telugu movie..wat abt u?,uci
ham,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng",mishra_soni
spam,Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,uci
ham,Ok. She'll be ok. I guess,uci
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",uci
ham,Did u got that persons story..all well?,mishra_soni
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,uci
spam,4mths half price orange line rental & latest camera ring 4 free. had your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt,llm_balanced
ham,No. She's currently in scotland for that.,uci
ham,I think u have the wrong number.,uci
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",uci
ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,uci
spam,You have won a Nokia 7250i.  To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,mishra_soni
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,uci
spam,8007 free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and enjoin ur mates www.getzed.co.uk pobox 36504 w4 5wq norm 150p/tone 16+,llm_balanced
spam,"customer service announcement. we recently test to piddle a delivery to you but exist unable to suffice so, please call 07099833605 to re-schedule. ref:9280114",llm_balanced
spam,here embody your discount code rp176781. to finish further messages reply stop. www.regalportfolio.co.uk. customer services 08717205546,llm_balanced
ham,"Haha better late than ever, any way I could swing by?",uci
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",mishra_soni
ham,Me fine..absolutly fine,uci
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",uci
spam,suffice you need a new nokia 3510i colour phone deliveredtomorrow? wit 100 free texts + free camcorder reply or bid 08000930705,llm_balanced
ham,From tomorrow onwards eve 6 to 3 work.,uci
ham,Annoying isn't it.,uci
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",uci
ham,"Yes, my reg is  Ciao!",uci
spam,you have won a nokia 7250i. this is what you get when you win our free auction. to convey part send nokia to 86021 now.,llm_balanced
spam,friendly reminder don't forget to support your sam update from the other day!ï¿½http://rghst.us/htcdlas reply stop to opt out,llm_balanced
ham,Ya had just now.onion roast.,uci
ham,"Sir, waiting for your letter.",uci
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),uci
spam,"Congrats, Your Product Order at Paytm Mall Pvt. Ltd. Is accepted. Message  Your Name Company and account number to PH 7679046492",mishra_soni
ham,Dunno y u ask me.,uci
ham,"Haha... Sounds crazy, dunno can tahan anot...",uci
spam,message important information for o2 user. today live your lucky day! 2 find out why log onto http://www.urawinner.com there exist a fantastic surprise awaiting you,llm_balanced
spam,For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com,mishra_soni
ham,Big brotherâs really scraped the barrel with this shower of social misfits,mishra_soni
ham,Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,uci
ham,Leave it wif me lar... Ã wan to carry meh so heavy... Is da num 98321561 familiar to Ã¼?,mishra_soni
ham,Y Ã¼ wan to go there? C doctor?,mishra_soni
ham,ÌÏ thk of wat to eat tonight.,uci
spam,u cause won a nokia 6230 plus a free digital camera. this embody what u get when u advance our free auction. to take part send nokia to 83383 now. pobox114/14tcr/w1 16,llm_balanced
spam,reply to win Â£100 weekly! what professional sport does tiger woods play? send stop to 87239 to finish service,llm_balanced
ham,Take us out shopping and Mark will distract Isaiah.=D,uci
ham,I'm really not up to it still tonight babe,uci
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",uci
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg,mishra_soni
spam,**free message**thanks for habituate the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,llm_balanced
spam,please call 08712402972 immediately as there exist an urgent message await for you,llm_balanced
spam,! ingest your mobile 11mths+? you are entitled to update to the latest colour camera mobile for free! call the mobile update co rid on 08002986906,llm_balanced
spam,"Please call our customer service representative on 6200992462 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.8,00,000 FL1PKART TEAM",mishra_soni
ham,Thanks for ve lovely wisheds. You rock,uci
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",uci
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,uci
ham,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",uci
ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,uci
ham,You said to me before i went back to bed that you can't sleep for anything.,uci
spam,suffice you want a new video handset? 750 any time any network mins? unlimited text? camcorder? reply or call now 08000930705 for del sat am,llm_balanced
spam,hi. customer loyalty offer:the new nokia6650 mobile from only Â£10 at txtauction! txt word: start to no: 81151 & convey yours now! 4t&ctxt tc 150p/mtmsg,llm_balanced
spam,"Dear customer your PAY2TMKYC has been expired, Itï¿½s will be bl0cked within 24 hour, please contact customer! Care phï¿½ 8536074310 immediately to verify",mishra_soni
spam,you embody entitle to update to the latest colour camera mobile for free! call the mobile update vco free on 08002986906,llm_balanced
ham,7 lor... Change 2 suntec... Wat time u coming?,uci
spam,"as a valued customer, i am pleased to notify you that succeed recent review of your mob no. you are present with a Â£2000 bonus prize, call 09066364529",llm_balanced
spam,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to arrogate call 08719180248 identifier code: 45239 expires,llm_balanced
ham,How long does it take to get it.,uci
ham,Ok anyway no need to change with what you said,uci
ham,"Fuuuuck I need to stop sleepin, sup",uci
ham,Hi Dev Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem.. Wating for your reply.,mishra_soni
ham,You do what all you like,uci
ham,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",mishra_soni
spam,"dear v0daf0ne customer,you are a 5,00,000 winner of guaranteed caller prize, this cost our final attempt to touch you! to claim call 7044518857 now!",llm_balanced
ham,Dont worry. I guess he's busy.,uci
ham,Super da:)good replacement for murali,uci
ham,Cramps stopped. Going back to sleep,uci
ham,Yes when is the appt again?,uci
ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear..",mishra_soni
ham,"As usual..iam fine, happy &amp; doing well..:)",uci
ham,Oh great. I.ll disturb him more so that we can talk.,uci
spam,i don't know u and u don't fuck me. send chat to 86688 now and let's find each other! only 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn. 18 years or over.,llm_balanced
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,uci
ham,Pandy joined 4w technologies today.he got job..,uci
spam,"449050000301 you ingest advance a Â£2,000 price! to claim, call 09050000301.",llm_balanced
ham,Hi..i got the money da:),uci
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,uci
ham,Cos darren say Ã¼ considering mah so i ask Ã¼...,mishra_soni
spam,"hottest pics straight to your phone!! see me bring and wanting, just for you xx text pics to 89555 now! txt costs 150p textoperator g696ga 18 xxx",llm_balanced
spam,"as a valued customer, i am pleased to advise you that following recent review of your mobile no. you embody awarded with a rs.7,00,000 bonus prize, call 7679046492",llm_balanced
spam,ringtoneking 84484,uci
ham,"I wake up long ago already... Dunno, what other thing?",uci
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",uci
spam,private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code: 49557 go 26/11/04,llm_balanced
ham,Or I guess  &lt;#&gt;  min,uci
ham,Ok cool. See ya then.,uci
ham,I just saw ron burgundy captaining a party boat so yeah,uci
ham,PS U no ur a grown up now right?,uci
spam,"urgent! your mobile no 07808726822 was awarded a Â£2,000 bonus caller prize on 02/09/03! this represent our 2nd attempt to contact you! yell 0871-872-9758 box95qu",llm_balanced
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",uci
spam,block breaker now comes in deluxe format with new features and great graphics from t-mobile. buy for just Â£5 by respond get bbdeluxe and bring the challenge,llm_balanced
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), login to lucozade.co.uk/wrc",mishra_soni
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,uci
spam,u have succeed Â£100 of gift vouchers week starting now call now 08718738034,llm_balanced
ham,"Not really dude, have no friends i'm afraid :(",uci
spam,"bring what it hire 2 take part in the wrc rally in oz? u can with lucozade energy! text rally le to 61200 (25p), date packs or lucozade.co.uk/wrc & itcould be u!",llm_balanced
ham,"Excellent, I'll see what riley's plans are",uci
spam,"Final Chance! Claim ur Â£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Subs 16",mishra_soni
ham,Thanks love. But am i doing torch or bold.,uci
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing,uci
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,uci
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",uci
ham,It means u could not keep ur words.,uci
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",uci
ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,mishra_soni
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.,uci
spam,"urgent, important information for o2 user. today exist your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise look for you",llm_balanced
ham,I'm already back home so no probably not,uci
spam,"hi ya babe x u 4goten bout me?' scammers getting smart..though this is a regular vodafone no, if you respond you bring further prem rate msg/subscription. other nos used also. beware!",llm_balanced
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,uci
ham,Yes we are chatting too.,uci
spam,Your free gift is waiting to be collected. Simply call 08718738034,mishra_soni
ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,uci
ham,\Keep ur problems in ur heart,uci
ham,I want to see your pretty pussy...,uci
ham,I dont want to hear philosophy. Just say what happen,uci
ham,Hey morning what you come to ask:-) pa...,uci
spam,we experience new local dates in your area - lots of new people file in your area. reply date to jump now! 18 only www.flirtparty.us replys150,llm_balanced
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,uci
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",uci
ham,I thk Ã¼ gotta go home by urself. Cos i'll b going out shopping 4 my frens present.,mishra_soni
spam,+123 congratulations - in this week's competition draw u experience won the Â£1450 prize to arrogate just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,llm_balanced
ham,"Hey elaine, is today's meeting still on?",uci
ham,Jay says that you're a double-faggot,uci
ham,TELL HER I SAID EAT SHIT.,uci
ham,"Ever green  ""A Person Who Irritates u Always Is the one Who Loves u Vry Much!!",mishra_soni
ham,Sorry for the delay. Yes masters,uci
ham,S:-)if we have one good partnership going we will take lead:),uci
ham,"Cool, text me when you're ready",uci
spam,YOU ARE CHOSEN TO RECEIVE A Â£350 AWARD! Pls call claim number 09066364312 to collect your award which you are selected to receive as a valued mobile customer.,mishra_soni
ham,Whatsup there. R u  sleeping?,mishra_soni
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",mishra_soni
ham,Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...,uci
spam,delight call 08712402972 immediately as there is an urgent message waiting for you,llm_balanced
spam,"we let find a request from you for purchasing paytm payments bank fastag. total amount to exist paid is rs 250/- (tag cost rs. 100 security deposit rs. 0, threshold -rs. 150). in case of any queries, please contact us at https://m.paytm.me/fastag-help",llm_balanced
spam,gsoh? good with the ladies?u could b a male gigolo? 2 join the uk's fastest rise mens club reply oncall. mjzgroup. 08714342399.2stop reply stop. msg@Â£1.50rcvd,llm_balanced
ham,I'm working technical support :)voice process.,uci
ham,"Just looked it up and addie goes back Monday, sucks to be her",uci
spam,how come it convey so little time for a child who is afraid of the dark to suit a teenager who need to stay out all night?,llm_balanced
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,uci
spam,reply to win Â£100 weekly! where will the 2006 fifa world cup be held? send stop to 87239 to stop service,llm_balanced
ham,Dont think so. It turns off like randomlly within 5min of opening,uci
ham,Pathaya enketa maraikara pa',uci
spam,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",uci
spam,74355 xmas iscoming & ur present either Â£500 cd gift vouchers & free entry 2 r Â£100 weekly draw txt music to 87066 tnc,llm_balanced
spam,insure out choose your babe videos @ sms.shsex.netun fgkslpopw fgkslpo,llm_balanced
ham,"Yeah there's barely enough room for the two of us, x has too many shoes. Sorry man, see you later",mishra_soni
spam,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,uci
spam,i don't know u and u don't experience me. send chat to 86688 now and let's feel each other! only 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn.,llm_balanced
ham,No problem. We will be spending a lot of quality time together...,uci
spam,u 447801259231 have a secret admirer who is see 2 make contact with u-find out who they r*reveal who cerebrate ur so special-call on 09058094597,llm_balanced
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",uci
spam,"free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800, psp or Â£250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",llm_balanced
spam,life ingest never been this much fun and great until you arrive in. you ready it truly special for me. i won't block you! enjoy @ one gbp/sms,llm_balanced
ham,Esplanade lor. Where else...,uci
ham,Yo guess what I just dropped,uci
spam,not listen from u4 a while. call 4 rude chat private line 01223585334 to cum. wan 2c pics of me gettin shagged then text pix to 8552.,llm_balanced
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,uci
spam,natalja (25/f) exist inviting you to be her friend. reply yes-440 or no-440 see her: www.sms.ac/u/nat27081980 stop? institutionalize stop frnd to 62468,llm_balanced
ham,"Thank you. And by the way, I just lost.",uci
ham,What Today-..sunday is holiday..so no work..,mishra_soni
ham,"â¦ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """,mishra_soni
